Date,AAPL,BAC,BTC-USD,C,COKE,DOGE-USD,ETH-USD,GOOG,INTC,JPM,MCD,MSFT,NFLX,NKE,VOD
2000-07-31,0.9073659777641296,23.6875,,528.75,44.0,,,,66.75,49.8125,31.6875,34.90625,,5.46875,50.24028015136719
2000-08-01,0.8805800080299377,23.84375,,528.75,44.0,,,,64.625,51.625,32.625,34.34375,,5.5625,50.02184295654297
2000-08-02,0.84375,23.59375,,532.5,41.25,,,,63.3125,51.4375,33.4375,34.6875,,5.703125,47.764671325683594
2000-08-03,0.857142984867096,24.53125,,534.84375,40.25,,,,65.0625,50.25,33.25,35.125,,5.75,48.419979095458984
2000-08-04,0.845982015132904,26.25,,551.25,39.25,,,,62.5625,52.4375,33.375,34.5625,,5.75,48.6384162902832
2000-08-07,0.8560270071029663,26.1875,,552.65625,39.75,,,,62.9375,53.5625,33.6875,35.0,,5.71875,47.32780075073242
2000-08-08,0.8348209857940674,25.96875,,546.09375,40.625,,,,61.625,53.5,33.5,37.0625,,6.0,48.6384162902832
2000-08-09,0.8482139706611633,26.53125,,544.6875,39.8125,,,,63.5625,52.3125,32.6875,37.125,,6.0,48.71122741699219
2000-08-10,0.8493300080299377,26.71875,,533.90625,39.921875,,,,62.0,51.875,32.8125,36.3125,,5.835937976837158,47.619049072265625
2000-08-11,0.8515629768371582,27.03125,,543.28125,40.125,,,,63.8125,52.0,33.4375,36.21875,,5.859375,47.47342300415039
2000-08-14,0.8404020071029663,27.5,,555.0,40.125,,,,66.9375,52.75,33.3125,36.09375,,5.945312976837158,48.12873077392578
2000-08-15,0.8337050080299377,27.15625,,554.53125,40.0,,,,67.875,51.8125,32.4375,35.8125,,5.851562976837158,49.22091293334961
2000-08-16,0.8660709857940674,26.75,,548.90625,42.0,,,,68.0625,50.375,32.375,35.5,,5.90625,48.78403854370117
2000-08-17,0.9185270071029663,26.78125,,560.625,41.5,,,,70.0625,50.6875,31.25,35.78125,,5.9375,47.47342300415039
2000-08-18,0.892857015132904,26.875,,560.859375,41.375,,,,70.5625,50.75,31.5625,35.5,,5.960937976837158,46.818115234375
2000-08-21,0.9017860293388367,26.9375,,576.5625,40.625,,,,72.0625,50.9375,31.5625,35.3125,,5.859375,45.72593688964844
2000-08-22,0.9229909777641296,27.21875,,579.84375,41.375,,,,72.125,52.75,31.3125,35.625,,5.265625,44.63375473022461
2000-08-23,0.9698659777641296,27.03125,,565.3125,40.0,,,,74.625,54.3125,31.1875,35.375,,5.03125,43.83282470703125
2000-08-24,1.0019530057907104,26.25,,575.625,40.125,,,,74.25,53.25,30.375,35.5625,,5.15625,45.5803108215332
2000-08-25,1.0145089626312256,25.875,,569.53125,40.125,,,,72.9375,52.0625,30.375,35.3125,,5.3125,46.235618591308594
2000-08-28,1.036829948425293,25.84375,,588.75,40.0,,,,73.875,52.6875,30.375,35.65625,,5.09375,46.45405578613281
2000-08-29,1.056920051574707,25.4375,,580.0,40.4375,,,,74.0625,51.875,30.4375,35.46875,,5.25,45.434688568115234
2000-08-30,1.0625,25.4375,,580.0,40.0625,,,,73.5,53.25,30.375,35.0,,5.179687976837158,45.434688568115234
2000-08-31,1.088170051574707,26.7890625,,583.90625,40.0625,,,,74.875,55.875,29.890625,34.90625,,4.947266101837158,47.91029739379883
2000-09-01,1.1328129768371582,26.25,,575.0,40.8125,,,,73.9375,56.3125,29.5625,35.09375,,5.109375,51.62370681762695
2000-09-05,1.114954948425293,26.75,,575.625,40.375,,,,69.25,57.125,29.6875,35.0625,,5.210937976837158,48.71122741699219
2000-09-06,1.0435270071029663,26.8125,,549.21875,40.125,,,,65.703125,56.0,30.125,34.71875,,5.0,47.400611877441406
2000-09-07,1.1071430444717407,27.1875,,547.5,40.875,,,,67.4375,57.25,29.5,35.03125,,4.828125,48.56560516357422
2000-09-08,1.051339030265808,27.96875,,565.0,40.375,,,,65.375,57.8125,28.75,34.65625,,4.890625,46.45405578613281
2000-09-11,1.0435270071029663,28.28125,,567.5,42.0,,,,64.6875,57.5,28.375,34.40625,,4.578125,43.687198638916016
2000-09-12,1.03125,28.5,,565.0,41.1875,,,,64.9375,52.8125,29.0,34.0625,,4.970703125,44.63375473022461
2000-09-13,1.035714030265808,28.40625,,557.5,40.625,,,,61.25,50.6875,27.1875,34.125,,4.828125,43.83282470703125
2000-09-14,1.0153460502624512,28.1640625,,562.1875,40.4375,,,,59.625,50.0,27.25,32.90625,,4.8125,44.70656967163086
2000-09-15,0.9863280057907104,27.4375,,550.625,40.9375,,,,57.515625,49.125,28.0,32.09375,,4.71875,43.39595031738281
2000-09-18,1.0831470489501953,26.84375,,535.0,41.25,,,,55.8125,46.5625,28.5,31.5,,4.734375,40.920345306396484
2000-09-19,1.0703129768371582,27.4375,,542.5,40.5,,,,60.375,46.875,27.875,32.5,,5.25,43.54157638549805
2000-09-20,1.0901230573654175,26.90625,,531.875,40.125,,,,63.0625,46.5,27.6875,32.125,,4.734375,40.77471923828125
2000-09-21,1.0122770071029663,26.5,,515.0,40.0,,,,61.484375,44.625,27.0,32.09375,,4.828125,39.97378921508789
2000-09-22,0.9319199919700623,27.5,,527.5,40.0625,,,,47.9375,47.25,28.6875,31.625,,4.945312976837158,39.75535202026367
2000-09-25,0.955357015132904,27.5,,541.25,39.75,,,,45.375,47.0,29.4375,30.625,,5.023437976837158,40.847530364990234
2000-09-26,0.9185270071029663,26.90625,,535.0,39.8125,,,,43.3125,46.0625,29.875,31.34375,,5.007812976837158,41.575653076171875
2000-09-27,0.8738840222358704,26.34375,,511.25,40.0,,,,43.875,45.5,29.875,30.3125,,4.984375,43.031890869140625
2000-09-28,0.955357015132904,27.0,,534.375,40.8125,,,,44.4375,46.875,29.875,30.65625,,5.015625,43.17751693725586
2000-09-29,0.4598209857940674,26.1875,,540.625,41.9375,,,,41.5625,46.1875,30.1875,30.15625,,5.007812976837158,43.104705810546875
2000-10-02,0.4330359995365143,26.53125,,553.75,40.75,,,,40.125,47.5,30.0625,29.5625,,5.0,43.17751693725586
2000-10-03,0.3984380066394806,27.09375,,568.75,41.125,,,,40.3125,46.75,30.25,28.28125,,5.1875,42.230960845947266
2000-10-04,0.421875,26.375,,547.5,40.875,,,,42.0,45.5625,30.0,27.71875,,5.085937976837158,43.17751693725586
2000-10-05,0.3939729928970337,26.9375,,561.25,40.5625,,,,41.0,44.4375,30.125,27.6875,,5.375,44.19688415527344
2000-10-06,0.39620500802993774,25.8125,,535.0,39.5,,,,39.9375,42.875,29.875,27.78125,,4.960937976837158,41.64846420288086
2000-10-09,0.38839301466941833,25.28125,,526.25,38.8125,,,,39.0625,42.0625,30.0625,27.09375,,4.875,41.93971252441406
2000-10-10,0.37276801466941833,24.34375,,510.0,40.9375,,,,37.5625,40.8125,29.9375,27.28125,,4.960937976837158,41.64846420288086
2000-10-11,0.3504459857940674,23.53125,,495.0,39.375,,,,35.375,40.6875,30.0,27.875,,4.867187976837158,39.828163146972656
2000-10-12,0.35714301466941833,22.28125,,467.5,41.0,,,,37.125,37.8125,28.375,27.1875,,4.796875,39.75535202026367
2000-10-13,0.3939729928970337,23.28125,,498.125,40.5,,,,40.375,39.6875,28.875,26.875,,4.8125,44.70656967163086
2000-10-16,0.3839290142059326,22.59375,,508.125,39.9375,,,,35.6875,39.5625,29.0,25.1875,,4.929687976837158,43.687198638916016
2000-10-17,0.359375,21.375,,493.75,41.25,,,,36.1875,37.9375,28.0,25.21875,,4.75,42.44939422607422
